question,answers,correctAnswer
"I.1 ¿Cuál es el objeto del 'Reglamento General de Radioaficionados'?","Regular la actividad de los Radioaficionados, Radio Clubes, Instituciones Autorizadas e Instituciones Reconocidas.|Atribuir y reglamentar el uso de las bandas de frecuencias para el Servicio de Aficionados y el Servicio de Aficionados por Satélite, teniendo en consideración las condiciones de diseño, instalación y operación de estaciones radioeléctricas en sus respectivas bandas de frecuencias, resultantes de los avances tecnológicos, a fin de facilitar el acceso y el desarrollo de la actividad.|Establecer criterios técnicos para el diseño de equipamiento destinado a la actividad de los Radioaficionados","0|1"
"I.2 ¿Cuál es el alcance del 'Reglamento General de Radioaficionados'?","Servicio de Aficionados.|Servicio de Aficionados por Satélite.|Servicio de Aficionados y Servicio de Aficionados por Satélite.","2"
"I.3 ¿Cuál es la Autoridad de Aplicación para el 'Reglamento General de Radioaficionados'?","SECRETARÍA DE COMUNICACIONES (SC).|COMISIÓN NACIONAL DE COMUNICACIONES (CNC).|ENTE NACIONAL DE COMUNICACIONES (ENACOM)|MINISTERIO DE COMUNICACIONES (MINCOM).","2"
"I.4 A los fines del Reglamento vigente en la República Argentina, los términos “aficionados” y “aficionados por satélite” ¿son considerados equivalentes a “radioaficionados” y “radioaficionados por satélite”, respectivamente?","Sí.|No.","0"
"I.5 Defina “SERVICIO DE RADIOAFICIONADOS”:","Servicio de radiocomunicación privado que tiene por objeto la instrucción de operadores comerciales.|Servicio de radiocomunicación público que tiene por objeto los estudios técnicos efectuados por operadores comerciales.|Servicio de radiocomunicación que tiene por objeto la instrucción individual, la intercomunicación y los estudios técnicos efectuados por Radioaficionados.|Servicio de radiocomunicación privado que tiene por objeto la instrucción de operadores de radiodifusión.","2"
"I.6 Defina “SERVICIO DE RADIOAFICIONADOS POR SATÉLITE”:","Servicio de radiocomunicación privado que tiene por objeto la instrucción de operadores comerciales.| Servicio de radiocomunicación que utiliza estaciones espaciales situadas en satélites artificiales de la Tierra para los mismos fines que el Servicio de Radioaficionados.|Servicio de radiocomunicación privado que tiene por objeto la instrucción de operadores de radiodifusión.|Servicio de radiocomunicación en el cual las señales emitidas o retransmitidas por estaciones espaciales están destinadas a la recepción directa por el público en general.","1"
"I.7 Defina “RADIOAFICIONADO”:","Persona debidamente autorizada que se interesa en la radiotecnia con carácter exclusivamente individual, sin fines de lucro y que realiza con su estación actividades de instrucción, de intercomunicación y estudios técnicos.|Persona debidamente autorizada que se interesa en la radiotecnia con carácter exclusivamente comercial, con fines de lucro y que realiza con su estación actividades de instrucción, de intercomunicación y estudios técnicos.|Persona debidamente autorizada que se interesa en la radiotecnia con carácter exclusivamente individual, con fines de lucro y que realiza con su estación actividades de instrucción, de intercomunicación y estudios técnicos.|Persona debidamente autorizada que se interesa en la radiotecnia con carácter exclusivamente individual, sin fines de lucro y que realiza con su estación actividades de intercomunicación con fines particulares.","0"
"I.8 Defina “RADIO CLUB”","Asociación Civil, integrada por cualquier operador de radio habilitado, cuyos objetivos fundamentales se apoyan en la agrupación de los mismos para propender a la difusión y fomento de la actividad radial.|Asociación Civil, integrada por entidades que agrupan a operadores de radio, cuyos objetivos fundamentales se basan en la enseñanza y práctica de la actividad comercial.|Persona Jurídica de Orden Privado cuya composición se tipifica dentro de la figura de Asociación Civil sin fines de lucro y sus objetivos fundamentales se apoyan en la agrupación de los Radioaficionados para fomentar el ingreso, enseñanza, difusión y práctica de la actividad.|Asociación Civil, integrada por usuarios del Servicios de Banda Ciudadana cuyos objetivos fundamentales se apoyan en la agrupación de los mismos para propender a la difusión y fomento de la actividad radial.","2"
"I.9 Defina “INSTITUCIÓN AUTORIZADA”:","Aquella institución, distinta de los Radio Clubes y de las Instituciones Reconocidas, autorizada por la Autoridad de Aplicación para dictar cursos sobre técnica, reglamentación y ética operativa, telegrafía y todo otro curso afín a la actividad, como así también, tomar exámenes para ingreso y ascenso de categorías de Radioaficionados.|Aquella institución, distinta de los Radio Clubes, autorizada por la Autoridad de Aplicación para fomentar el ingreso, difusión y práctica de la actividad, a través de Prácticas Operativas","0"
"I.10 Defina “INSTITUCIÓN RECONOCIDA”:","Aquella institución, distinta de los Radio Clubes y de las Instituciones Autorizadas, reconocida por la Autoridad de Aplicación para fomentar el ingreso, difusión y práctica de la actividad, a través de Prácticas Operativas|Aquella institución, distinta de los Radio Clubes, autorizada por la Autoridad de Aplicación para dictar cursos sobre técnica, reglamentación y ética operativa, telegrafía y todo otro curso afín a la actividad, como así también, tomar exámenes para ingreso y ascenso de categorías de Radioaficionados.","0"
