question,answers,correctAnswer
"1. ¿Con qué elemento bloqueamos el paso de una corriente continua entre dos puntos de un circuito ?","Resistor.|Inductor.|Capacitor.|Termistor","2"
"2. ¿Cuál es el cable coaxil menos recomendado para VHF y UHF por sus mayores pérdidas?","RG-58|RG-8|RG-213|RG-11","0"
"3. Una resistencia está identificada con los siguientes colores: Rojo-Naranja-Rojo ¿Qué valor tiene ?","670 KΩ.|230 KΩ.|2,3 KΩ.|23 KΩ.","2"
"4. La banda de color dorado que se encuentra en un resistor, ¿qué tolerancia indica?","5 %|10 %|20 %|30 %","0"
"5. ¿En qué unidad se mide la inductancia de una bobina?","Faradio.|Joulio.|Henrio.|Coulombio","2"
"6. Enuncie la ley de Ohm:","La intensidad de una corriente eléctrica es inversamente proporcional al cuadrado de la diferencia de potencial y directamente proporcional a su resistencia.|La intensidad de una corriente eléctrica es directamente proporcional a la diferencia de potencial entre los extremos del conductor e inversamente proporcional a su resistencia.|La intensidad de una corriente eléctrica es directamente proporcional a su resistencia e inversamente proporcional a la diferencia de potencial entre los extremos del conductor.|Laintensidaddeunacorrienteeléctricaesdirectamenteproporcionalasuresistenciay directamente proporcional a la diferencia de potencial entre los extremos del conductor.","1"
"7. ¿Cuál es la unidad de medida de la intensidad de corriente?","Voltio.|Amperio|Vatio.|Henrio","1"
"8. ¿Cuál es la unidad de medida de la tensión?","Voltio.|Amperio|Vatio|Henrio","0"
"9. Tenemos un circuito con 3 resistencias en serie de 10 Ω cada una, conectadas a una fuente de alimentación de corriente continua con 30 V de tensión. ¿Qué valor de intensidad de corriente eléctrica circula por el circuito ?","10 Amperio.|100Amperio.|1 Amperio.|0,1Amperio","2"
"10. ¿Con qué instrumento se mide la tensión en un circuito eléctrico y como se conecta dicho instrumento ?","Amperímetro. Se conecta en serie.|Voltímetro.Se conecta en serie.|Voltímetro. Se conecta en paralelo.|Amperímetro.Seconectaenparalelo","2"
"11. ¿Con qué instrumento se mide la intensidad de corriente en un circuito eléctrico y como se conecta dicho instrumento ?","Voltímetro. Se conecta en serie.|Amperímetro.Se conecta en paralelo.|Amperímetro. Se conecta en serie.|Amperímetro.Se conecta en paralelo","2"
"12. ¿Cuál es la unidad de medida de la potencia eléctrica ?","Amperio.|Voltio.|Vatio.|Henrio","2"
"13. ¿Qué potencia se producirá en una resistencia de 400 Ω, si la tensión aplicada es de 20V?","10 Vatio.|100 Vatio.|1 Vatio|20 Vatio","2"
"14. Se conectan en paralelo tres capacitores de 22, 33 y 5 microfaradios respectivamente . ¿Cuál es la capacidad total del circuito ?","3 uf|60 uf|45 uf|70 uf","1"
